site_name,date_cest,plot_distance_from_start_m,percentage_vegetation_cover,percentage_bare_ground,percentage_rock,height_75percent_cm,max_height_cm,density_01,density_02,density_03,density_04,density_05
MOL02,2021-09-15,22,70,30,0,3,10,9,0,4,6,7
MOL02,2021-09-15,27,50,50,0,3,7,0,5,9,4,3
MOL03,2021-09-15,11,80,10,10,12,35,4,50,2,10,35
MOL03,2021-09-15,56,50,10,40,17,40,8,3,18,2,3
MOL03,2021-09-15,67,40,20,40,10,35,9,5,5,4,0
MOL04,2021-09-15,12,90,10,0,2,25,1,3,3,4,7
MOL04,2021-09-15,56,90,5,5,12,30,11,5,23,5,17
MOL04,2021-09-15,68,70,15,15,12,30,6,21,13,0,0
MOL05,2021-09-15,13,70,30,0,13,25,16,11,7,28,23
MOL05,2021-09-15,39,70,20,10,10,40,0,7,0,13,0
MOL05,2021-09-15,42,65,20,15,15,35,3,30,13,6,7
MOL06,2021-09-15,14,80,10,10,3,45,0,1,5,6,1
MOL06,2021-09-15,23,80,10,10,3,30,0,0,2,13,3
MOL06,2021-09-15,37,95,0,5,2,20,7,6,3,5,8
MOL01,2021-07-17,11,10,0,90,3,25,0,0,3,3,0
MOL01,2021-07-17,39,80,5,15,2,5,5,5,4,5,3
MOL01,2021-07-17,71,70,15,15,2,25,6,4,6,1,0
MOL02,2021-07-17,12,90,0,10,5,3,3,0,2,3,5
MOL02,2021-07-17,32,80,10,10,5,30,13,10,5,0,20
MOL02,2021-07-17,57,70,20,10,2,10,5,4,4,3,6
MOL03,2021-07-17,13,80,5,15,15,50,17,17,9,8,15
MOL03,2021-07-17,56,80,20,0,10,40,0,5,3,2,21
MOL03,2021-07-17,59,50,45,5,3,45,1,11,11,2,4
MOL05,2021-07-17,15,90,5,5,3,35,3,1,5,3,6
MOL05,2021-07-17,57,80,15,5,3,40,2,5,3,13,8
MOL05,2021-07-17,60,60,10,30,3,50,0,8,5,35,1
MOL06,2021-07-17,15,90,9,1,4,50,5,3,3,4,4
MOL06,2021-07-17,55,80,10,10,3,40,7,8,5,2,15
MOL06,2021-07-17,99,50,35,15,4,60,2,3,7,1,1
MOL04,2021-07-17,14,90,5,5,2,20,3,8,5,3,13
MOL04,2021-07-17,54,70,20,10,10,35,10,3,11,4,4
MOL04,2021-07-17,99,60,10,30,15,60,36,3,5,4,13
MOL08,2021-07-17,17,100,0,0,5,55,5,6,7,4,8
MOL08,2021-07-17,67,90,5,5,3,60,7,7,1,6,6
MOL08,2021-07-17,71,70,10,20,4,65,2,4,5,0,3
MOL09,2021-07-17,18,90,5,5,4,35,3,3,8,3,3
MOL09,2021-07-17,43,70,0,30,5,50,16,7,8,11,13
MOL09,2021-07-17,73,80,0,20,5,45,4,5,6,0,8
TAV07,2021-06-30,14,80,20,0,2,5,4,5,4,4,3
TAV07,2021-06-30,73,60,20,20,30,45,24,50,8,0,2
TAV07,2021-06-30,82,80,10,10,20,40,5,12,10,6,19
TOR01,2021-06-29,9,100,0,0,20,40,4,10,7,4,5
TOR01,2021-06-29,23,100,0,0,30,40,4,16,9,8,6
TOR01,2021-06-29,62,100,0,0,50,60,9,7,9,9,8
TOR02,2021-06-29,10,60,40,0,30,40,8,9,2,13,2
TOR02,2021-06-29,37,50,40,10,15,30,1,6,3,5,1
TOR02,2021-06-29,77,70,30,0,8,30,0,4,0,3,3
TOR10,2021-06-29,11,100,0,0,5,30,6,7,5,18,13
TOR10,2021-06-29,63,90,0,10,5,20,1,5,6,7,5
TOR10,2021-06-29,65,85,5,10,8,25,6,4,6,16,12
BOR02,2021-06-29,17,100,0,0,25,45,9,20,15,11,11
BOR02,2021-06-29,51,100,0,0,50,50,18,25,10,30,15
BOR02,2021-06-29,61,100,0,0,50,60,30,21,25,35,26
TAV01,2021-06-30,11,60,0,40,1,2,1,2,3,3,5
TAV01,2021-06-30,25,80,10,10,2,2,4,3,6,2,15
TAV01,2021-06-30,43,90,10,0,4,10,9,5,3,7,15
TAV05,2021-06-30,13,30,35,35,2,30,4,7,6,4,4
TAV05,2021-06-30,32,80,10,10,6,25,6,6,12,7,2
TAV05,2021-06-30,56,70,15,15,1,10,4,1,5,5,8
TAV06,2021-06-30,14,70,30,0,15,35,5,3,8,13,8
TAV06,2021-06-30,27,90,10,0,10,50,7,5,16,4,3
TAV06,2021-06-30,47,50,40,10,20,40,13,5,2,4,13
TOR07,2021-09-19,15,100,0,0,5,50,16,16,17,40,27
TOR07,2021-09-19,18,95,0,5,3,30,23,16,6,32,12
TOR07,2021-09-19,26,100,0,0,4,20,4,16,6,15,11
