specimen_label,site_name,date_cest,method,method_repeat,sex,stage,id_confidence,suborder,family,subfamily,genus,species
TOR04 20210919 N1 C016,TOR04,2021-09-19,Net,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20210919 N1 C017,TOR04,2021-09-19,Net,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR04 20210919 N1 C018,TOR04,2021-09-19,Net,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus apricarius
TOR04 20210919 N1 C019,TOR04,2021-09-19,Net,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Omocestus,Omocestus haemorrhoidalis
TOR02 20210919 N1 C002,TOR02,2021-09-19,Net,1,Male,Adult,Confirmed,Caelifera,Acrididae,Oedipodinae,Oedipoda,
TOR02 20210919 N1 C003,TOR02,2021-09-19,Net,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Chorthippus,Chorthippus vagans
TOR02 20210919 N1 C004,TOR02,2021-09-19,Net,1,Unknown,Nymph,Confirmed,Caelifera,Acrididae,Gomphocerinae,,
TOR02 20210919 N1 E001,TOR02,2021-09-19,Net,1,Male,Adult,Confirmed,Ensifera,Tettigoniidae,Tettigoniinae,Pholidoptera,Pholidoptera griseoaptera
TOR02 20210919 N1 E002,TOR02,2021-09-19,Net,1,Male,Adult,Confirmed,Ensifera,Tettigoniidae,Tettigoniinae,Tessellana,Tessellana tessellata
TOR02 20210919 N1 E003,TOR02,2021-09-19,Net,1,Female,Adult,Confirmed,Ensifera,Tettigoniidae,Tettigoniinae,Platycleis,Platycleis albopunctata
TOR02 20210919 N1 E004,TOR02,2021-09-19,Net,1,Female,Adult,Confirmed,Ensifera,Tettigoniidae,Tettigoniinae,Tessellana,Tessellana tessellata
TOR02 20210919 N1 E005,TOR02,2021-09-19,Net,1,Unknown,Unknown,Confirmed,Ensifera,,,,
